Athlete Name,Contingent,Home Town,Type Name,Sports Name
Logan Aalders,New Brunswick,Fredericton,Athlete,Wheelchair Basketball
Michael Abgrall,British Columbia,Richmond,Athlete,Hockey
Jumana Abouelela,Nova Scotia,"Halifax, NS",Athlete,Squash
Rawan Abouelela,Nova Scotia,"Alexandria, Egypt",Athlete,Squash
Lyndsy Acheson,British Columbia,Summerland,Athlete,Hockey
Skylar Ackerman,Saskatchewan,Chamberlain,Athlete,Curling
Wren Acorn,Northwest Territories,,Athlete,Speed Skating
Avi Adam,Nova Scotia,"Wolfville, Nova Scotia",Athlete,Hockey
Jake Adams,Nova Scotia,Amherst NS,Athlete,Snowboard
Riley Adams,New Brunswick,Oromocto N.B.,Athlete,Speed Skating
Sawyer Adams,Yukon,Whitehorse,Athlete,Hockey
Matt Afaganis,Alberta,Calgary,Athlete,Alpine Skiing
Kostubh Agarwal,Manitoba,Winnipeg,Athlete,Squash
GHRANDOZZ AGUILAR,Saskatchewan,SWIFT CURRENT,Athlete,Judo
Rory Aiken,Prince Edward Island,Charlottetown,Athlete,Hockey
Michael Akbashev,Manitoba,,Athlete,Judo
Derrick Akeeagok,Nunavut,,Athlete,Badminton
Adel Akhmed,Ontario,Toronto,Athlete,Wheelchair Basketball
Eric Alarie,Manitoba,Winnipeg,Athlete,Hockey
Ethan Algra,British Columbia,Abottsford,Athlete,Biathlon
Nolan Allan,Saskatchewan,,Athlete,Hockey
Jeremy Allen,Nova Scotia,"Halifax, Nova Scotia",Athlete,Snowboard
Kyran Allen,Yukon,Whitehorse Yukon,Athlete,Freestyle Skiing
Spencer Allen,Alberta,Airdrie,Athlete,Alpine Skiing
Tatum Allen,Ontario,"Kitchener, ON",Athlete,Ringette
Tysen Almond,Northwest Territories,,Athlete,Hockey
Taylor Althouse,Alberta,"Lethbridge, Alberta",Athlete,Judo
Ashley Anaka,Saskatchewan,saskatoon,Athlete,Gymnastics
Gemma Andersen,Newfoundland and Labrador,Portugal Cove-St.Philips,Athlete,Artistic Swimming
Kevin Anderson,Saskatchewan,Regina,Athlete,Hockey
Wynne Anderson-Lindsay,Yukon,"Whitehorse, Yukon",Athlete,Hockey
Owen Angootealuk,Nunavut,Coral Harbour,Athlete,Hockey
Alexa Annecca,Ontario,"Barrie, ON",Athlete,Speed Skating
Ethan Anstey,Northwest Territories,Yellowknife,Athlete,Hockey
Brynn Applegath,British Columbia,"Kamloops, BC",Athlete,Alpine Skiing
Danielle Arbour,Newfoundland and Labrador,Goulds,Athlete,Wheelchair Basketball
Sam Archibald,Nova Scotia,"Debert, Nova Scotia",Athlete,Hockey
alexandre arencibia,Quebec,Montréal,Athlete,Judo
Danica Ariano,British Columbia,Coldstream,Athlete,Biathlon
Craig Armstrong,Alberta,Rockyview County,Athlete,Hockey
Julia Arnason,New Brunswick,New Maryland,Athlete,Artistic Swimming
Nicholas Arnold,Newfoundland and Labrador,"Drayton Valley, AB (CA)",Athlete,Wheelchair Basketball
Liam Arnsby,Ontario,"Ajax, Ontario",Athlete,Hockey
Joe Arntsen,Saskatchewan,Dinsmore,Athlete,Hockey
Lyra Eleftheria Arruda Kyriakidis,Nova Scotia,"Halifax, NS",Athlete,Speed Skating
Erik Arruda,Ontario,Caledon,Athlete,Gymnastics
Chris Arsenault,Yukon,"Whitehorse, Yukon",Athlete,Freestyle Skiing
Donovan George Arsenault,Prince Edward Island,Richmond,Athlete,Hockey
Ethan Dale Arsenault,Prince Edward Island,Rustico,Athlete,Gymnastics
Kristen Kathleen Arsenault,Prince Edward Island,Abrams VIllage,Athlete,Archery
Max Arsenault,New Brunswick,Rothesay,Athlete,Wheelchair Basketball
Luc Arseneau Chiasson,New Brunswick,Beresford,Athlete,Archery
Sydney Arseneault,New Brunswick,"Saint John, NB",Athlete,Badminton
Brady Arthurs,Saskatchewan,Saskatoon,Athlete,Wheelchair Basketball
Lerena Ashevak,Nunavut,Cape Dorset,Athlete,Badminton
Olivia Ashley,Nunavut,Iqaluit,Athlete,Speed Skating
Cole Assailly,Manitoba,Winnipeg,Athlete,Hockey
Olivia Asselin,Quebec,Lévis,Athlete,Freestyle Skiing
Evie Claire Astle,New Brunswick,Woodstock,Athlete,Gymnastics
Austin Meng Au,Yukon,Whitehorse,Athlete,Badminton
Rémi Aubin,Quebec,Laval,Athlete,Gymnastics
Dominik Aucoin,New Brunswick,Edmundston,Athlete,Alpine Skiing
Kamille Aucoin,New Brunswick,"Edmundston, NB",Athlete,Alpine Skiing
Joel Aukema,British Columbia,Langley,Athlete,Wheelchair Basketball
Ethan Aumond,Northwest Territories,Yellowknife,Athlete,Hockey
Flavie Aumond,Quebec,,Athlete,Freestyle Skiing
Ariane Austin,New Brunswick,Benoit,Athlete,Cross Country Skiing
Martha Avery,Nova Scotia,Cole Harbour,Athlete,Ringette
Jordan Awalt,Nova Scotia,Dartmouth,Athlete,Ringette
Kelsey Ayers,Alberta,Calgary,Athlete,Artistic Swimming
Kaitlyn Aylesworth,British Columbia,"Victoria, British Columbia",Athlete,Artistic Swimming
Jesse Bachinsky,Manitoba,Kenora,Athlete,Cross Country Skiing
Courtney Kayla Bacon,British Columbia,"Salmon Arm, BC",Athlete,Ringette
Gavin Baggs,Newfoundland and Labrador,Paradise,Athlete,Wheelchair Basketball
Daniel Bagnell,Saskatchewan,,Athlete,Judo
Tyanna Bain,Northwest Territories,Inuvik,Athlete,Curling
Logan Bairos,Saskatchewan,Saskatoon,Athlete,Hockey
Elel Baker,Ontario,Georgetown,Athlete,Gymnastics
Jill Baker,Newfoundland and Labrador,Paradise,Athlete,Artistic Swimming
Maria Baker,Newfoundland and Labrador,,Athlete,Artistic Swimming
Julia Bakos,Alberta,St. Albert,Athlete,Curling
Anthony Balan,Quebec,Dollard-des-Ormeaux,Athlete,Gymnastics
Gail Balkwill,Saskatchewan,,Athlete,Alpine Skiing
Kate Ball,Saskatchewan,Saskatoon,Athlete,Hockey
Danna Ballantyne,Ontario,Ottawa,Athlete,Speed Skating
Dawson Ballard,British Columbia,Surrey,Athlete,Curling
Tiago Balteiro,Ontario,KINGSVILLE,Athlete,Boxing
Caedan Bankier,British Columbia,Cloverdale,Athlete,Hockey
Ivy Bao,Alberta,,Athlete,Table Tennis
Alexis Barabe,Quebec,Ste-Agathe-des-Monts,Athlete,Alpine Skiing
Kyle Barber,Ontario,Stirling,Athlete,Cross Country Skiing
Vincent Barbon,Ontario,Ancaster,Athlete,Curling
Aron Bargen,Saskatchewan,"The Bush, SK",Athlete,Cross Country Skiing
Aron Bargen,Saskatchewan,Medstead,Athlete,Biathlon
Chlöe Bargen,Saskatchewan,Medstead,Athlete,Biathlon
Catherine Baril,New Brunswick,"Dieppe, New-Brunswick",Athlete,Figure Skating
Eli Jacob Barnett,New Brunswick,"Riverview, NB",Athlete,Hockey
Anna Barrington,Newfoundland and Labrador,St. John's,Athlete,Hockey
Chanreet Kaur Bassi,British Columbia,Lake Country,Athlete,Hockey
Janelle Bastarache,New Brunswick,Memramcook,Athlete,Hockey
Mathias Bathe,Alberta,Calgary,Athlete,Speed Skating
Elizabeth Battista,Alberta,Calgary,Athlete,Artistic Swimming
Austin Bauer,Alberta,Calgary,Athlete,Badminton
Jenna Bazin,Manitoba,Winnipeg,Athlete,Ringette
Roux Bazin,Manitoba,Treherne,Athlete,Hockey
Emma Beach,Newfoundland and Labrador,St.Johns,Athlete,Artistic Swimming
Ty Beacon,Yukon,Whitehorse,Athlete,Hockey
Shallen Bear,Saskatchewan,Whitewood,Athlete,Figure Skating
Chris Bearne,Nova Scotia,Halifax,Athlete,Gymnastics
Tess Beasant,Alberta,Calgary,Athlete,Alpine Skiing
Evelyn Beaton,Alberta,"Lethbridge, AB",Athlete,Judo
Chloé Beauchesne,Manitoba,dugald,Athlete,Speed Skating
Roxanne Beaudry,Quebec,,Athlete,Speed Skating
Laura Beauvais,Quebec,,Athlete,Alpine Skiing
Kaden Beck,Northwest Territories,"Hay River, NT",Athlete,Hockey
MADISON BECK,Nova Scotia,LUNENBURG,Athlete,Hockey
Mackenzie Beckett,Ontario,"Thornbury, Ontario",Athlete,Freestyle Skiing
Anthony Bédard,Quebec,Trois-Rivières,Athlete,Hockey
Kate Lauren Beers,New Brunswick,Moncton,Athlete,Ringette
Jamie Behan,Ontario,Toronto,Athlete,Snowboard
Madison Beishuizen,Ontario,Ripley,Athlete,Hockey
Gabrielle Bélanger,Yukon,"Sherbrooke, Québec",Athlete,Badminton
Wackrood Belfort,Quebec,Montréal,Athlete,Wheelchair Basketball
Brianna Belisle,British Columbia,Smithers,Athlete,Snowboard
Rose Béliveau,Quebec,Saint-Basile-le-Grand,Athlete,Wheelchair Basketball
Tristan wiltshire Bell,Quebec,"aylmer,quebec",Athlete,Snowboard
Miranda Bellisle,Saskatchewan,Prince Albert,Athlete,Judo
Tehya Benjamin,Nova Scotia,Halifax,Athlete,Gymnastics
Nicolas Bennett,Northwest Territories,Yellowknife,Athlete,Cross Country Skiing
Seth Bennett,Yukon,Whitehorse,Athlete,Table Tennis
Natalie Marie Benoit,British Columbia,Summerland,Athlete,Biathlon
Kyla Jordon Bent,Nova Scotia,Halifax Nova Scotia,Athlete,Hockey
Nolan Bentham,British Columbia,Victoria,Athlete,Hockey
Alexisse Bérard,Manitoba,Notre-Dame de Lourdes,Athlete,Biathlon
Cezara Bere,Alberta,Edmonton,Athlete,Speed Skating
Cole Beres,Alberta,Calgary,Athlete,Archery
Liam Berger,Manitoba,oakbank,Athlete,Snowboard
Alyssa Bergeron,Quebec,montreal,Athlete,Alpine Skiing
Mikela Bergevin,Quebec,St-Albert,Athlete,Freestyle Skiing
Hayley Bergman,Manitoba,Rosenfeld,Athlete,Curling
Payton Bergman,Manitoba,Rosenfeld,Athlete,Curling
Bianca Berko-Malvasio,Yukon,Whitehorse,Athlete,Gymnastics
Chad Berling,Alberta,Calgary,Athlete,Biathlon
Michael Bernard,Prince Edward Island,Charlottetown,Athlete,Badminton
Sara-Jade Berthiaume,Quebec,St-Jérôme,Athlete,Gymnastics
Félix-Olivier Bertrand,Quebec,Gatineau,Athlete,Judo
Sandrine Bérubé,Quebec,Beauharnois,Athlete,Wheelchair Basketball
Josiah Besler,Saskatchewan,Saskatoon,Athlete,Gymnastics
Jenny Bessey,Newfoundland and Labrador,Labrador City,Athlete,Hockey
Kassy Betinol,Alberta,Okotoks,Athlete,Hockey
Marc-Antoine Bety,Quebec,Québec,Athlete,Freestyle Skiing
Jonah Bevington,Northwest Territories,,Athlete,Hockey
Lucia Bicknell,British Columbia,West Vancouver,Athlete,Squash
Matt Bicknell,British Columbia,West Vancouver,Athlete,Squash
Jennifer Nicole Bidgood,Newfoundland and Labrador,Witless Bay,Athlete,Hockey
Zach Biggar,Prince Edward Island,PORTAGE,Athlete,Hockey
Jonathan Bilan,Alberta,Edmonton,Athlete,Wheelchair Basketball
Morgan Bilassy,Alberta,Edmonton,Athlete,Curling
Zack Bilawka,Manitoba,East St. Paul,Athlete,Curling
Rylan Bileski,Manitoba,winnipeg,Athlete,Wheelchair Basketball
Béatrice Bilodeau,Quebec,,Athlete,Hockey
Lyne Marie Bilodeau,Quebec,Sherbrooke,Athlete,Cross Country Skiing
William Bilodeau,Quebec,Saint-Anselme,Athlete,Speed Skating
Kaley Bilyk,Alberta,Edmonton,Athlete,Ringette
Rachel Bindle,Saskatchewan,,Athlete,Wheelchair Basketball
Andrew Patrick Binns,Prince Edward Island,,Athlete,Speed Skating
Parsa Bisheh,British Columbia,"Tehran, Iran",Athlete,Boxing
Emma Bishop,New Brunswick,Dieppe,Athlete,Hockey
Tyler David Benjamin Bishop,New Brunswick,Quispamsis,Athlete,Figure Skating
Ryleigh Bissenden,British Columbia,Victoria,Athlete,Wheelchair Basketball
Larissa Black,British Columbia,Squamish,Athlete,Biathlon
Sara Black,Ontario,Toronto,Athlete,Wheelchair Basketball
Trystan Black,Saskatchewan,,Athlete,Badminton
William Blackburn,Quebec,,Athlete,Hockey
Arno Blacquière,Quebec,Chicoutimi,Athlete,Judo
Caylie Blake,Newfoundland and Labrador,,Athlete,Figure Skating
Joshua Roy Blake,Newfoundland and Labrador,Happy Valley Goose Bay,Athlete,Judo
Zachary Blakely,Alberta,Red Deer,Athlete,Gymnastics
Shea-Lynne Blanchard,New Brunswick,Quispamsis,Athlete,Gymnastics
Kyle Blandford,Ontario,Oakville,Athlete,Alpine Skiing
Amelie Blanton,New Brunswick,QUISPAMSIS,Athlete,Gymnastics
Félix Blaquière,Quebec,,Athlete,Gymnastics
Sarah Blomquist,Saskatchewan,Saskatoon,Athlete,Ringette
Laurence Blondeau,Quebec,Drummondville,Athlete,Figure Skating
Josh Bloom,Ontario,Oakville,Athlete,Hockey
Donny Boake,Northwest Territories,Yellowknife,Athlete,Cross Country Skiing
Kennedy Bobyck,Saskatchewan,Regina,Athlete,Hockey
George Bobyn,Saskatchewan,Saskatoon,Athlete,Freestyle Skiing
Kyle Bochek,Saskatchewan,Moosomin,Athlete,Hockey
Lindsay Bochna,Ontario,Toronto,Athlete,Hockey
Jaden Bogden,Alberta,Edmonton,Athlete,Hockey
Rosalie Boissonneault,Quebec,Drummondville,Athlete,Artistic Swimming
Mélaurie Boivin,Quebec,Desbiens,Athlete,Figure Skating
Lannette Boland,British Columbia,Pender Island,Athlete,Wheelchair Basketball
Riley Boland,Yukon,"Whitehorse,YT",Athlete,Snowboard
Zachary Bolduc,Quebec,Bécancour,Athlete,Hockey
Bryson Bolianatz,Saskatchewan,Pilot Butte,Athlete,Wheelchair Basketball
Tanner Bolianatz,Saskatchewan,Pilot Butte,Athlete,Wheelchair Basketball
Caleb Bolt,Nunavut,"Kugluktuk, Nunavut",Athlete,Table Tennis
Maja Bonham,British Columbia,Vancouver,Athlete,Gymnastics
Shannan Bonnetrouge,Northwest Territories,Fort Providence,Athlete,Table Tennis
Brae Booth,British Columbia,Creston,Athlete,Judo
Haldan Borglum,Alberta,Calgary,Athlete,Biathlon
Jordan Mark Bortis,Saskatchewan,Saskatoon,Athlete,Wheelchair Basketball
Davey Boschmann,Saskatchewan,Winnipeg,Athlete,Gymnastics
Jolaine Katryne Bossé,New Brunswick,"Edmundston, New Brunswick",Athlete,Alpine Skiing
Samuel Alexandre Bossé,New Brunswick,"Edmundston, New Brunswick",Athlete,Alpine Skiing
Gabrielle Bosshard,New Brunswick,Moncton,Athlete,Alpine Skiing
Alex Boucher,Alberta,Calgary,Athlete,Gymnastics
Kael Boucher,New Brunswick,,Athlete,Badminton
Noah Boucher,New Brunswick,Dieppe,Athlete,Squash
Jasmine Boucley,Quebec,Montreal,Athlete,Squash
Annick Boudreau,New Brunswick,"Memramcook, NB",Athlete,Hockey
Lucas William Boudreau,Prince Edward Island,Elmwood,Athlete,Cross Country Skiing
Alex Bougie,Quebec,Montréal,Athlete,Wheelchair Basketball
Ben Boulanger,Alberta,Calgary,Athlete,Squash
Cameron Phillip Boulter,Nova Scotia,New Glasgow,Athlete,Figure Skating
Emanuel Boulutfallah,Quebec,LIban,Athlete,Figure Skating
Noah Bouma,Ontario,Ottawa,Athlete,Speed Skating
Jacob Bourassa,Saskatchewan,Regina,Athlete,Archery
Anna Bourgeois,Alberta,Calgary,Athlete,Speed Skating
Samia Boussarhane,Quebec,Brossard,Athlete,Judo
Marilou Bouthiette,Quebec,Prévost,Athlete,Freestyle Skiing
Hannah Boutilier,Nova Scotia,Dartmouth. NS,Athlete,Gymnastics
Kolby Boutilier,Nova Scotia,Lower Sackville,Athlete,Archery
Olivier Boutin,Quebec,Québec,Athlete,Hockey
Megan Bouveur,British Columbia,Victoria,Athlete,Hockey
Lauren Boyd,Nova Scotia,Truro,Athlete,Gymnastics
Alexandra-Anne Boyer,Quebec,Saint-Constant,Athlete,Hockey
Ceili Bracha,Saskatchewan,,Athlete,Speed Skating
Landen Bradley,New Brunswick,Woodstock,Athlete,Artistic Swimming
Emma Bragg,Alberta,"Calgary, Alberta",Athlete,Gymnastics
Caleb Brake,Northwest Territories,"Fort Smith, NT",Athlete,Curling
Cole Brander,Alberta,Edmonton,Athlete,Boxing
Imogen Brander-McMullen,Nova Scotia,Porters Lake,Athlete,Artistic Swimming
Max Brant,Ontario,Niagara on the Lake,Athlete,Speed Skating
Brooke Sarah Braun,British Columbia,Fort Saint John BC,Athlete,Speed Skating
Owen Brawley,Ontario,Waterloo,Athlete,Figure Skating
Emma Brearley,Ontario,"Gravenhurst, ON",Athlete,Snowboard
Liam Brearley,Ontario,"Gravenhurst, ON",Athlete,Snowboard
Ashton Brebner,Saskatchewan,"Unity, SK",Athlete,Alpine Skiing
Gracie Brennan,Northwest Territories,,Athlete,Table Tennis
Katherine Brennan,Saskatchewan,,Athlete,Badminton
Tyler Brennan,Manitoba,Winnipeg,Athlete,Hockey
Rachel Lindsey Brewer,New Brunswick,Quispamsis,Athlete,Curling
Breken Brezden,Manitoba,"Dauphin, Manitoba",Athlete,Figure Skating
Juliette Brindamour,Quebec,Toronto,Athlete,Speed Skating
Fiona Briner,British Columbia,"Langley, British Columbia",Athlete,Ringette
Ainsley Reese Bristol,Saskatchewan,Regina,Athlete,Artistic Swimming
Jessye Brockway,British Columbia,Mill Bay,Athlete,Cross Country Skiing
Althea Brolsma,Alberta,Calgary,Athlete,Cross Country Skiing
Aidan Brook,Manitoba,Roblin,Athlete,Hockey
Brianna Brooks,Ontario,Whitby,Athlete,Hockey
Alexandre Brossard,Quebec,Mont-Tremblant,Athlete,Alpine Skiing
Nate Broughton,Alberta,Calgary,Athlete,Gymnastics
Ella Susan Brown,Nova Scotia,Port Williams,Athlete,Squash
Josh Brown,Manitoba,Winnipeg,Athlete,Wheelchair Basketball
Matt Brown,Nova Scotia,"Dartmouth, Nova Scotia",Athlete,Gymnastics
Paul Brown,Manitoba,Winnipeg,Athlete,Badminton
Carter Nolan Bruce,Prince Edward Island,Charlottetown,Athlete,Speed Skating
Skyler Bruce,Manitoba,"Winnipeg, Manitoba",Athlete,Hockey
Lévi Brunelle,Manitoba,Winnipeg,Athlete,Biathlon
Cédrick Brunet,Quebec,gatineau,Athlete,Speed Skating
Marie-Pier Brunet,Quebec,Bromont,Athlete,Alpine Skiing
Dana Brunskill,Alberta,"Calgary, AB",Athlete,Artistic Swimming
Alexander Bu,Ontario,Markham,Athlete,Table Tennis
Adam Buchwald,Manitoba,Winnipeg,Athlete,Speed Skating
Isaac Buckingham,Newfoundland and Labrador,Corner Brook,Athlete,Alpine Skiing
Keelan Buckler,Nunavut,Iqaluit,Athlete,Hockey
Matthew James Hedley Budgell,Nova Scotia,"Halifax, Nova Scotia",Athlete,Wheelchair Basketball
Damien Bueckert,Saskatchewan,"Osler, Sk",Athlete,Figure Skating
Will Buffey,Ontario,Toronto,Athlete,Snowboard
Jenna Buglioni,British Columbia,Port Moody,Athlete,Hockey
Alex Bulgaru,Nova Scotia,"Halifax, NS",Athlete,Boxing
Regan Bulger,Northwest Territories,Yellowknife,Athlete,Hockey
Arnica Bulmer,Yukon,Whitehorse,Athlete,Hockey
Abbigail Bunn,Ontario,Ennismore,Athlete,Archery
Maggy Burbidge,Nova Scotia,Falmouth Nova Scotia,Athlete,Hockey
Hugo Burgess,Yukon,Whitehorse,Athlete,Hockey
Calista Burke,Northwest Territories,Fort Smith,Athlete,Biathlon
Danika Burke,Northwest Territories,Fort Smith,Athlete,Biathlon
Inuuki Burke,Nunavut,Iqaluit,Athlete,Hockey
Chase Burns,British Columbia,Abbotsford,Athlete,Alpine Skiing
Alexis Marina Burris,Prince Edward Island,Albany,Athlete,Curling
Kobe Burt,Newfoundland and Labrador,Grand falls-windsor,Athlete,Hockey
Carter Butler,Newfoundland and Labrador,Conception Bay South,Athlete,Boxing
Gerry Byrne,Newfoundland and Labrador,,Athlete,Alpine Skiing
Jesse M. Byrne,Newfoundland and Labrador,Stephenville,Athlete,Biathlon
Teghan Byrne,Newfoundland and Labrador,Portugal Cove St Philips,Athlete,Artistic Swimming
Chanel Cabak,Manitoba,Portage la Prairie,Athlete,Figure Skating
Emilia Cabrera Mallette,Quebec,,Athlete,Table Tennis
Mackenzie Cahill,Newfoundland and Labrador,Torbay,Athlete,Hockey
Shannon Elizabeth Caines,Nova Scotia,Halifax,Athlete,Judo
Tyler Caines,Northwest Territories,Yellowknife,Athlete,Hockey
Toby Cairns,Alberta,Calgary,Athlete,Gymnastics
Andi Calderone,Quebec,Kirkland Quebec,Athlete,Hockey
Jaycee Cale,Saskatchewan,Regina,Athlete,Ringette
Xinya Calhoun,Ontario,"Mississauga, ON",Athlete,Artistic Swimming
Laura Callahan,Newfoundland and Labrador,Pilley's Island,Athlete,Table Tennis
Nick Callahan,Newfoundland and Labrador,,Athlete,Boxing
Connor Cameron,Nova Scotia,"Halifax, NS",Athlete,Speed Skating
Katie Cameron,New Brunswick,Riverview,Athlete,Hockey
Mackenzie Cameron,Yukon,Whitehorse,Athlete,Squash
Callie Campbell,Prince Edward Island,Central Bedeque,Athlete,Biathlon
Chris Campbell,Nova Scotia,"Bedford, NS",Athlete,Judo
Jack Campbell,Prince Edward Island,"Souris, PEI",Athlete,Hockey
Jordan Campbell,Manitoba,,Athlete,Speed Skating
Jordyn Campbell,Manitoba,Winnipeg,Athlete,Ringette
Rocco Canil,Nunavut,Iqaluit,Athlete,Judo
Julien Canniccioni,Quebec,Neuville,Athlete,Snowboard
Cindy Cao,British Columbia,,Athlete,Squash
Sarah Cao,British Columbia,,Athlete,Squash
Vanessa Caouette,New Brunswick,Saint-Jacques,Athlete,Judo
Emma Carey,Northwest Territories,Yellowknife,Athlete,Hockey
Audrey Carle,Ontario,Georgetown,Athlete,Figure Skating
Élias Carmichael,British Columbia,Langley,Athlete,Hockey
Hugo Caron,Quebec,"Stoneham, Quebec",Athlete,Alpine Skiing
Liam Caron,Nova Scotia,Dartmouth,Athlete,Table Tennis
Natalie Caron,Prince Edward Island,Summerside,Athlete,Ringette
Emma Theresa Carpenter,Nunavut,Iqaluit,Athlete,Speed Skating
Félix Carpentier,Quebec,Montréal,Athlete,Snowboard
Andrew Carr,Northwest Territories,"Yellowknife, NT",Athlete,Hockey
Ethan Jeffrey Carragher,Prince Edward Island,,Athlete,Alpine Skiing
Amélie Carrier,Quebec,Boucherville,Athlete,Ringette
Emily Carroll,Northwest Territories,Yellowknife,Athlete,Hockey
Jordan Carroll,Saskatchewan,st. Johns,Athlete,Gymnastics
Liam Carroll,Northwest Territories,Yellowknife,Athlete,Hockey
Sydney Blue Carroll,Saskatchewan,Saskatoon,Athlete,Artistic Swimming
Aidan Carruthers,Prince Edward Island,Charlottetown,Athlete,Alpine Skiing
Maggie Carson,Northwest Territories,Yellowknife,Athlete,Gymnastics
Aly Carter,British Columbia,"Vernon, BC",Athlete,Ringette
Jenna Carter,Saskatchewan,Regina,Athlete,Ringette
Katie Carter,British Columbia,Maple Ridge,Athlete,Ringette
Mathew Carter,British Columbia,Langley,Athlete,Figure Skating
Megan Carter,Ontario,"Milton, Ontario",Athlete,Hockey
Nathan Carter,Newfoundland and Labrador,Witless Bay,Athlete,Hockey
Leila Cartier,New Brunswick,"Mascouche, QC",Athlete,Speed Skating
Loïc Cassista,New Brunswick,"Edmundston, NB",Athlete,Judo
Taylor Catcher,Northwest Territories,Yellowknife,Athlete,Hockey
Jayden Catellier,Manitoba,St. Pierre-Jolys,Athlete,Hockey
Xander Cayer,Alberta,Calgary,Athlete,Freestyle Skiing
Cassie Cebuliak,Yukon,"Whitehorse, Yukon",Athlete,Hockey
Treyson Cerrato,British Columbia,Surrey,Athlete,Gymnastics
Corson Ceulemans,Alberta,"Beaumont, Alberta",Athlete,Hockey
Molly Chadwick,Ontario,Toronto,Athlete,Squash
Charlotte Chagnon,Quebec,Granby,Athlete,Gymnastics
Léa Chamberland-Dostie,Quebec,La Pocatière,Athlete,Speed Skating
Simon Chambers crease,Saskatchewan,Regina,Athlete,Cross Country Skiing
Romeo Champagne,Yukon,whitehorse,Athlete,Biathlon
Sebastian Champagne,Ontario,"Brantford, Ontario",Athlete,Speed Skating
Tyler Champagne,Manitoba,Winnipeg,Athlete,Gymnastics
Emily Chan,Alberta,Calgary,Athlete,Badminton
Katie Chan,British Columbia,Richmond,Athlete,Hockey
Rachel Chan,Ontario,Markham,Athlete,Badminton
Renee Chan,Ontario,Toronto,Athlete,Artistic Swimming
Autumn Chandler,Prince Edward Island,Charlottetown,Athlete,Ringette
Kobi Chant,Alberta,"Olds, Alberta",Athlete,Figure Skating
Clayton Michael Chapman,Yukon,Whitehorse,Athlete,Alpine Skiing
Tamara Chaput,Manitoba,"Winnipeg, Manitoba",Athlete,Artistic Swimming
Syth Charchun,Yukon,Whitehorse,Athlete,Snowboard
Kennedy Charles,Manitoba,"Virden, Manitoba",Athlete,Speed Skating
Maria Cheeseman,Prince Edward Island,"Morell, Prince Edward Island",Athlete,Squash
Michael Cheeseman,Prince Edward Island,Morell,Athlete,Squash
Thomas Cheeseman,Prince Edward Island,Morell,Athlete,Squash
Addyson Cheladyn,Alberta,"Port Coquitlam, BC",Athlete,Gymnastics
Maksim Chelmaev,Quebec,Bichkek,Athlete,Figure Skating
Anthony Chen,Alberta,,Athlete,Table Tennis
Sabrina Chen,Ontario,Taiwan,Athlete,Table Tennis
Yunzhi Chen,Alberta,"LiuZhou, GuangXi, China",Athlete,Badminton
Kylie Cheng,British Columbia,Vancouver,Athlete,Badminton
Simon Cheng,British Columbia,Vancouver,Athlete,Badminton
Anne Cherkowski,British Columbia,Coldstream,Athlete,Hockey
Jacqueline Cheung,Ontario,Richmond Hill,Athlete,Badminton
Stephanie Cheung,Alberta,Edmonton,Athlete,Badminton
Sunnie Chi,Saskatchewan,,Athlete,Badminton
Clody Lisanne Chiasson,New Brunswick,Shippagan NB,Athlete,Hockey
Émy Maude Chiasson,New Brunswick,Shippagan NB,Athlete,Hockey
Jake Chiasson,British Columbia,Abbotsford,Athlete,Hockey
Brooklyn Childs,Newfoundland and Labrador,"Corner Brook, Newfoundland",Athlete,Hockey
Sasha Chilibeck,Saskatchewan,Saskatoon,Athlete,Judo
Hanna Chilson,Alberta,Hardisty,Athlete,Alpine Skiing
Hunter Chipley,Saskatchewan,Estevan,Athlete,Archery
Max Chisholm,Prince Edward Island,Summerside,Athlete,Hockey
Mya Chisholm,Prince Edward Island,Summerside,Athlete,Hockey
Wesley Chiu,British Columbia,Richmond BC,Athlete,Figure Skating
Andrew Choi,Quebec,Pointe-Claire,Athlete,Badminton
Catherine Choi,Ontario,Markham,Athlete,Badminton
Darren Choi,Ontario,Richmond Hill,Athlete,Badminton
Jadyn Chomlack,British Columbia,Pemberton,Athlete,Snowboard
Troy Chong,British Columbia,Burnaby,Athlete,Curling
Felix Uttak Choquette,Nunavut,,Athlete,Hockey
Gordon Chow,Manitoba,winnipeg,Athlete,Table Tennis
Kelden Christ - Bonnell,Manitoba,New Bothwell,Athlete,Judo
Kadin Christ-Bonnell,Manitoba,New Bothwell,Athlete,Judo
Aidan Christoffersson,Alberta,Canmore,Athlete,Alpine Skiing
Aley Chrunik,Saskatchewan,Saskatoon,Athlete,Gymnastics
Sherilyn Chung,British Columbia,Coquitlam,Athlete,Speed Skating
Bethany Churchill,Alberta,"Calgary, Alberta",Athlete,Squash
Chris Churchill,Nova Scotia,Bedford,Athlete,Curling
Emma Chylinski,British Columbia,North Vancouver,Athlete,Archery
Dylan Clark,British Columbia,Cranbrook,Athlete,Boxing
Brandt Clarke,Ontario,Ottawa,Athlete,Hockey
James Clarke,Newfoundland and Labrador,St. Johns,Athlete,Hockey
Rebecca Clarke,British Columbia,North Vancouver,Athlete,Hockey
Shae-Lynn Clarke,Newfoundland and Labrador,Bell Island,Athlete,Hockey
Skye Clarke,British Columbia,vancouver,Athlete,Freestyle Skiing
