,Athlete Name,Athlete Province,Athlete or Coach,Athlete Sport,Athlete Age,Athlete Height,Athlete Weight,Athletes Clubs or Teams,Athletes Coaches Name,Athletes Team Position,Athletes Previous Games,Athletes Previous Games,Athletes Goals,Athletes Personal Best,Athletes Awards,Athletes Role Model,Athletes Media or Social Media Information,Events Participated In,Athletes Number of Gold Medals,Athletes Number of Silver Medals,Athletes Number of Bronze Medals,Athletes Placements
13,GHRANDOZZ AGUILAR,Saskatchewan,Athlete,Judo,16,175,69,Swift Current Judo Club,Nancy Jewitt-Filteau,Blue belt,@Ghrandozz,@Ghrandozz,"meet great athletes & strive to be one; be the best
I could possibly be",Sask Winter Games Gold medal - fought 7 opponents,"Edmonton International Championships 2010 to 2018: 5 Gold Medals & 2 Bronze; SK Provincial Tournaments 2010 to 2018 held in Saskatoon, Regina, Moose Jaw, Watrous & Swift Current - 9 Gold medals, 2 silver & 1 Bronze",Dad,tried various sports until I found Judo,,0,0,0,0
14,Rory Aiken,Prince Edward Island,Athlete,Hockey,17,163,64,The Mount Academy,Kenny MacDougall,Defence,,,"My goal for our team in the games is to perform at our full potential and represent the province well. The best ever finish for the women's hockey team from PEI is seventh, so matching that would be a huge accomplishment.",,"Named captain of The Mount Academy team
Hard Hat Award winner of the ACC 2018
Selected First Team All Star for the Midget AAA league 17/18","Two of my personal role models in life would be Shannon MacAulay and Katherine Johnston, who both attended the Canada Winter Games in 2011. Both have had major influence on my personal life, and life in sport. I admire them for their hard work ethic, and strong personalities.","My family has always been involved in sport, especially hockey. I was always playing sports from a young age, and was exposed to hockey no differently. I enjoyed the team atmosphere, and challenging myself, and hockey was the perfect combination of the two.",,0,0,0,0
15,Michael Akbashev,Manitoba,Athlete,Judo,16,,,,,,,,,,,,,,0,0,1,1
16,Derrick Akeeagok,Nunavut,Athlete,Badminton,16,,,,,,,,,,,,,,0,0,0,0
17,Adel Akhmed,Ontario,Athlete,Wheelchair Basketball,19,165,44,Variety Village Rolling Rebels,Stephen Bialowas,,,,my goals for this games are to improve my personal skills as much as the team chemistry and show everyone the sport of wheelchair basketball.,,,Lionel Messi and Neymar Jr,"I was watching Paralympics 2012 where Canada finished 1st, and was really interested in trying the sport.",,0,1,0,1
18,Eric Alarie,Manitoba,Athlete,Hockey,16,185,90,RHA Nationals,Eric Alarie,Forward,,,My goals for the game are to play to my full potential and to bring a gold medal back to Manitoba,I was drafted 22nd overall in the WHL draft.,Bantam AAA MVP in 2017 and Bantam AAA all-star game in 2017,Jonathan Toews,"When I was 2 years old, I would go skating with my dad and my brother. It was at that time that I started to be more competitive, by playing against my brother. Then at 4 years old, I started to play league games",,0,0,0,0
19,Ethan Algra,British Columbia,Athlete,Biathlon,16,187.5,75,Sovereign Lake Nordic Club,Eric De Nys,,,,,,,,,,0,0,0,0
20,Nolan Allan,Saskatchewan,Athlete,Hockey,15,,,,,,,,,,,,,,0,0,0,0
21,Jeremy Allen,Nova Scotia,Athlete,Snowboard,17,,,WinSport Academy Snowboard Slopestyle Performance Team,,,,,,,,,,,0,0,0,0
22,Kyran Allen,Yukon,Athlete,Freestyle Skiing,20,,,Yukon Freestyle,Haydn Griffis,,,,,,,,,,0,0,0,0
23,Spencer Allen,Alberta,Athlete,Alpine Skiing,18,155,70,CADS Calgary,Plamen Stamov,Athlete,,,,,,,,,1,0,0,1
24,Tatum Allen,Ontario,Athlete,Ringette,17,165,60,Waterloo U19AA,Shelagh Rouse,Defence,,,First place!,"Second place in Ontario Winter Games, 4th place twice in Nationals",,"My dad, he was my coach while I was starting ringette and he always pushed me to be better",I went out to an icetime with my sister and I’ve loved it ever since!,,0,1,0,1
25,Tysen Almond,Northwest Territories,Athlete,Hockey,14,,,,,,,,,,,,,,0,0,0,0
26,Taylor Althouse,Alberta,Athlete,Judo,17,178,81,Chinook High School,Ewan Beaton,,,,To be on the podium in the individual competition.,Gold at the Ontario Open in 2018.,Lethbridge Judo Club Sportsmanship award,"In Judo my role model is Ilias Iliadis because the way he trains and completes is inspiring. In life, my role model is my dad.","When I was 9, a good friend of mine told me about judo. After I went to watch one of his practices, I decided to give it a try and loved it.",,0,0,2,2
27,Ashley Anaka,Saskatchewan,Athlete,Gymnastics,19,162,54,Can-Am gymnastics club,Sam Anderson,,,,to complete my routines and be in the top 3,first place,provincial athlete of the year in 2015,Rosie Maclennan,"I've been doing gymnastics since i was 3, and moved through various levels and disciplines.",,1,0,0,1
28,Gemma Andersen,Newfoundland and Labrador,Athlete,Artistic Swimming,16,173,67,Sea Stars,Shannon Driscoll and Alicia Vey,,,,,,,,,,0,0,0,0
29,Kevin Anderson,Saskatchewan,Athlete,Hockey,15,175,63,Notre Dame Argos,Mike Merriman,Centre,@kevinandersonsk,@kevinandersonsk,To compete for and make a podium spot and to really enjoy the experience.,,"2017/2018 - Most dedicated player - Notre Dame Hounds Bantam Prep Team
2018 - Notre Dame Scholarship Award for achieving top 5 grades in Grade 9",My family and my coaches because they have always been there supported me.,"I became involved in hockey because it's fun and I love the game, comradery and friendships.",,0,0,0,0
30,Wynne Anderson-Lindsay,Yukon,Athlete,Hockey,14,6 ft,,Yukon Rivermen (B.C. Hockey - Bantam AAA Boys - Tier 1),,Goalie,,,To represent Team Yukon in our best results ever!,My Player of the Game awards playing for the Yukon Rivermen boys' team - because those are the times that I felt that I personally played my best.,"2019 - Player of the Game, Yukon Rivermen - Prince George Bantam AAA (Boys) Crossroads Cup Tournament
2019 - Player of the Game, Yukon Rivermen, Tier One Division - Kamloops International Bantam (Boys) Hockey Tournament
2018 - Player of the Game, Whitehorse Mustangs - Wickenheiser Female World Hockey Festival (Calgary)
2018 - Player of the Game, Yukon (Female) Mustangs - Yukon Bantam Cup (Co-ed) Tournament
2017 - Chad Chaisson Memorial ""Hustle Award"", Andrews Hockey Camp (PEI)","Marc-Andre Fleury, Goalie, Las Vegas Knights - he's funny, friendly and French Canadian...plus he's very flexible and talks to his goal posts!","I started playing when I was 10 years old - I played defence. Then when I was 12 years old Louis Bouchard, the coach of the Yukon Female Mustangs team, showed up at our door - he asked if I wanted to play goalie. I said sure. Then I learned how to play goalie at Mustangs' practices and I played Bantam house co-ed league as defence and sometimes as goalie. After that I went to Andrew's hockey camp when we were on vacation in PEI - I really liked it. After that summer, when I was 13, I played goalie for the Mustangs. Then this year I tried out for the Yukon Rivermen - our new boys Bantam AAA team - and made the team, and played with them this year. What I really like about being goalie is being in the game all the time!",,0,0,0,0
31,Owen Angootealuk,Nunavut,Athlete,Hockey,15,5'3',52.5kg,,Martin Joy,,,,to do my best.,"personal best, 1st/2nd","MVP's, game star awards",my dad,we had a try out camp in Iqaluit and I got selected,,0,0,0,0
32,Alexa Annecca,Ontario,Athlete,Speed Skating,18,5'6,,,Justin Warsylewicz,,@alexaannecca,@alexaannecca,"My goals for the games are to have an amazing experience with my team, to skate well and do my best, and make lifelong friendships and memories",,,My parents,"I started out as a short track speed skater in 2008 when my home club coach (who is a friend of my moms) recommended me to try it. I always knew I wanted to try long track, so I finally did at the beginning of the 2016-2017 season. I went to a few long-track competitions over the last 2 years while training short track but this season (2018-2019) is my first season training/competing in only long track.",,0,0,0,0
33,Ethan Anstey,Northwest Territories,Athlete,Hockey,16,176,74.4,Shawnigan Lake Prep School,Kevin Cooper,Center,,,"Bring my leadership to the team, make players around me better, play best that I can and help my team have the best result ever at CWGs.",My personal best result has been my team's best result in several hockey events including the Arctic Winter Games and the CSSHL Championships.,CSSHL Most Sportsmanlike Player of the Year award last season,"My dad, as he introduced me to hockey, provides me the opportunity to play and learn about hockey.","I started at a young age, coached by my dad, until I started attending Shawnigan Lake Prep School.",,0,0,0,0
34,Brynn Applegath,British Columbia,Athlete,Alpine Skiing,15,167.64,68,Sun Peaks Alpine Club,"Bill Rublee, Wade Rettie, Ben Macgregor",,,,"At these games, I am really looking forward to enjoying the sport I love at a high level of competition. It is going to be a great checkpoint to see what my competition is, and a reminder of what it takes to be successful. My goals are to ski how I know I can and have the most fun I can. I would really like to make the flips because I am unsure of how my placings will be.",Winning first place in my provincial race series.,"U16 and U14 excellence 4 years in a row for Sun Peaks Alpine Club, McSporties Athlete of the year award, Academic/effort/honour roll since grade 8, above 95% average award.",Every day I think about how much stamina Mikaela Shiffrin and Serena Williams have. They are the type of strong women I want to grow into. I want to be strong and empowering just like they are for me.,"Most of my family from both sides has done ski racing at a young age, but it is my dad who skied on the Canadian National Ski team. It was because of his knowledge of the sport that I started at a young age and fell in love with it.",,0,0,0,0
35,Danielle Arbour,Newfoundland and Labrador,Athlete,Wheelchair Basketball,23,142,39,@daniellearbour7,Todd Hickey,,,,,,,,,,0,0,0,0
36,Sam Archibald,Nova Scotia,Athlete,Hockey,15,173,66,,John Greenwood,Left wing,,,Be a consistent player and get a point per game.,5th in rookie points at the Major Midget level this year.,,,My parents introduced me to the sport at a very young age and I liked it so much that I pursued it at the competitive level.,,0,0,0,0
37,alexandre arencibia,Quebec,Athlete,Judo,18,1m83cm,84.5,Shidokan,Vincent Marticotte/ Sergio Pesoa,Judo,,,"Je souhaite faire de mon mieux. Bien sûr, je vise aussi de gagner l'or.",3ème au championnat du monde junior 2018,"Meilleure athlète cadet par execellence (gala judo Québec), athlète par excellence (lauréats sportifs C.D.N/N.D.G), athlète relève par excellence (soirée des lauréats montréalais)",Shohei ono. C'est un athlète Japonais qui m'a beaucoup inspiré à développer mon judo actuel.,J'ai commencé le judo a l'âge de 4 ans afin de canaliser mon énergie débordante.,,2,0,0,2
38,Danica Ariano,British Columbia,Athlete,Biathlon,17,177,,,,,,,"Hit some targets, ski fast, and hopefully medal!

...oh yeah, and have fun",,Nomination to the U20 National Development Team - 2018/19,,"I had wanted to try cross-country skiing for a little while, then when I heard there was a sport where you could ski AND shoot, I was sold!",,0,0,0,0
39,Craig Armstrong,Alberta,Athlete,Hockey,15,"5'8""",170,Edge Midget Prep,James Poole,Forward,,,"Have fun, enjoy the experience of the games, meet new people , play with different teammates, play under different coaches and hopefully win a gold medal.",Team- AB Cup Champions; AMBHL Provincial Champions; Rocky Mountain Classic Tournament Bronze Medalists;Westerns Finalist,Personal- Peewee AA Top Scorer in SCAHL ; Bantam AAA Top Forward in AMBHL; John Reid All Star Team; AMBHL All Star Team; Westerns MVP; Westerns All Star Team.,"My parents 100% are my role models. They both do so much for me such as driving to practices, training, etc. They are willing to sacrifice to help me achieve my success, and teaching me so many valuable lessons. Also, Wayne Dougherty, without him I would not be the player and person I am today.",My parents put me on the ice when I was 1 1/2 years old and I have loved the sport ever since.,,0,0,1,1
40,Julia Arnason,New Brunswick,Athlete,Artistic Swimming,16,163,61,FSSC,Emily Mckim,,,,To get a 69-70 and to have our best swim.,,,Emily Mckim,Friends,,0,0,0,0
41,Nicholas Arnold,Newfoundland and Labrador,Athlete,Wheelchair Basketball,18,163 cm,59 kg,Edmonton inferno B,Kyle Allen,,,,too enjoy the experience and have fun,,,Liam hickey,through a local program for persons with disabilities,,0,0,0,0
42,Liam Arnsby,Ontario,Athlete,Hockey,15,178,79,Don mills flyers and Ajax high rams hockey,Mark Slawson,Center,ArnsbyLiam,ArnsbyLiam,My goals for the Canada winter games to win gold and to enjoy the experience,"participating in the Brink back in 2013, finishing first in the gthl 4 years in a row, Winning ohf in peewee, Winning ohf in Bantam, winning lossa for hockey, winning the gthl league 4 years in a row.","-Most valuable forward at ohf peewee
- Made the all start team at silver stick international in 2018
- Male athlete of the year for my school in 2017",My personal role model is my brother because I grew up watching him play team Ontario for rugby and showing me how to workout when I was young,I got involved in my sport from my brother playing it as a kid,,0,1,0,1
43,Joe Arntsen,Saskatchewan,Athlete,Hockey,15,188,86,Swift Current Legionnaires Midget AAA,Darren Evjen,Defence,,,"Priority one is to win. Second, to play my best in every game and contribute to my team. Third to make new friends and enjoy the experience.",Winning provincials and going to Westerns: Bantam,"2018-2019 All Star Team at the Mac's Invitational Midget AAA
2017 All Star at Graham Tuer Bantam Tournament
2017 All Star at Hockey Hounds Bantam AAA Tournament",,"I started playing hockey at 3 years old. My older brother Charlie was five and playing hockey, my younger brother Hunter was one, and parents were expecting my sister Abbey. So it was easier for my parents to put me one the ice than chase me around the rink.",,0,0,0,0
44,Lyra Eleftheria Arruda Kyriakidis,Nova Scotia,Athlete,Speed Skating,15,155cm,42kg,Halifax Regional Speed Skating Club,Jonathan McNeil,,,,To meet new people from all over Canada and have an amazing experience.,,"Halifax Regional Speed Skating Club Athlete of the Year, 2012-13
Halifax Regional Speed Skating Club Athlete of the Year, 2014-15
Sport Nova Scotia Female Individual Athlete of the Year, 2016-17",,My mom signed me up when I was nine because I loved skating on the outdoor oval in Halifax. I haven't looked back since : ),,0,0,0,0
45,Erik Arruda,Ontario,Athlete,Gymnastics,16,172,69,Skyriders Trampoline Place,David Ross,Athlete,,,My goals are to perform the same way I have been training and to have a good time representing my province.,My personal best was making it to World age groups.,I have been awarded multiple academic awards.,My personal role model for trampoline is Jason Burnett.,I first got involved in trampoline by doing a summer camp and from there I took classes and eventually joined competitive.,,0,0,1,1
46,Chris Arsenault,Yukon,Athlete,Freestyle Skiing,15,180,69,Yukon Freestyle Ski Association,Hayden Griffis,Head Coach,,,,,,,,,0,0,0,0
47,Donovan George Arsenault,Prince Edward Island,Athlete,Hockey,14,183,79,OHA Bantam AAA,Patrick Turcot,Forward,@donovanarsenau2,@donovanarsenau2,Use the games an avenue for exposure also to experience something that not a lot of people get to experience.,Being selected to an Atlantic all star team as a first year bantam player.,"Rookie of the year for PEI bantam aaa hockey league.
Made honor role at OHA first semester.
Game MVP at numerous tournaments.",Grand Father George,Father and older brothers all played,,0,0,0,0
48,Ethan Dale Arsenault,Prince Edward Island,Athlete,Gymnastics,14,162,52,Island Gymnastics Academy,CJ Keliher,Men’s Artistic Gymnastics,,,To achieve my personal best!,Gold medal on vault in Calgary 2018.,,Félix Dolci! I saw him compete when we were both younger and he amazes me.,My older siblings and cousins were also involved in this sport.,,0,0,0,0
49,Kristen Kathleen Arsenault,Prince Edward Island,Athlete,Archery,16,168 cm,,Cass' Creek Archery Club,Duncan Crawford,,,,My goal for this years games is to shoot a personal best and have to lots of fun!,My highest score during a 18m fita round is 573/600. This was during the Canadian Regional Indoor Championships.,,,"My dad and I went out to Cass's Creek Archery range to try it out one Saturday afternoon in November 2013. That Christmas, I received my frst coumpound target archery bow and have been competing ever since. What really hooked me to this great sport was my first major competition, the 2015 Winter Canada Games held in Prince George BC.",,0,1,0,1
50,Max Arsenault,New Brunswick,Athlete,Wheelchair Basketball,18,188,70,,,,Arsenaultmaxy,Arsenaultmaxy,,,,,,,0,0,0,0
51,Luc Arseneau Chiasson,New Brunswick,Athlete,Archery,19,175.26,87,,,Recurve,,,,,Première place au Canada en Junior Barebow au 2018 Regional Indoor Championship,,,,0,0,0,0
52,Sydney Arseneault,New Brunswick,Athlete,Badminton,15,170,58,Saint John Junior Badminton Club,Mike Butler,,,,"To represent my province to the best of my ability, and enjoy the experience",Gold medalist at Atlantic Champioships,"2018 Atlantic MVP, 2017 Atlantic MVP",Mike Butler,"My father coached the high school badminton team for many years. As a little girl, I would go to practices with him and I fell in love with the sport.",,0,0,0,0
53,Brady Arthurs,Saskatchewan,Athlete,Wheelchair Basketball,20,"5'8""",170 lbs,Club 99,Katie Miyazaki and Rob Sajtos,,,,"To compete to the best of my abilities, enjoy the experience and to be a supportive teammate. Our goal is to bring home the gold!",Winning bronze at the Junior National Championships in 2018 and winning gold at the 2018 CWBL B finals.,Member of the All-Star team at the 2018 CWBL B finals.,"One great role model for me is Lisa Franks, a teammate, and multi-Paralympic gold medalist. She is an example to follow showing that hard work can lead to great success.",I started playing wheelchair basketball three years hoping to become more active and fulfill my competitive drive.,,0,0,0,0
54,Lerena Ashevak,Nunavut,Athlete,Badminton,16,170,56,Inuksuk High School,Saumik Darehshoripour,,,,,,,,,,0,0,0,0
55,Olivia Ashley,Nunavut,Athlete,Speed Skating,15,"5'3""",53,Nunavut Speed Skating Association,Kyle St. Laurant,Head Coach,,,Personal best,49 for 500 m,Adademic Award of Grade 8,"My sister, Kara Ashley, and my, Mom Joanne Ashley.",My older sister was a speed skater with Nunavut Speed Skating Association and she encouraged me to join the sport so I did and I love it!,,0,0,0,0
56,Cole Assailly,Manitoba,Athlete,Hockey,15,5'8 feet,140,,,Defence,,,"Build Relationships
Be plus in all games
Block Shots And take sacrifice",Drafted 4th overall in MJHL,honours in grade 8/9,Josh Morissey,My parents were allways very athletic and my older brother started skateing and encouraged me,,0,0,0,0
57,Olivia Asselin,Quebec,Athlete,Freestyle Skiing,15,,,Équipe du Québec,Philippe Morin,Slopestyle et Big Air,,,,,,,,,1,0,0,1
58,Evie Claire Astle,New Brunswick,Athlete,Gymnastics,14,159,47,River Valley Gymnastics,Jayne Geddes,,,,To represent New Brunswick Gymnastics to the best of my ability and support and encourage all of my teammates. I would also like to improve my scores on all events.🤸‍♀️,A stuck level 10 beam routine with full difficulty placing 1st.,"Gymnast of the Year -River Valley Gymnastics 2017/2018,
2014/2015, National Gymnastics Championships 2018 5th floor,
Provincial Awards- vault champion 2018, second all around 2018,
all around champion 2016, vault&bar&floor champion 2016",Nastia Liukin,"I was always very active from an early age, jumping off the couch,
doing somersaults and climbing everything so my parents thought
Gymnastics would be a great fit!",,0,0,0,0
59,Austin Meng Au,Yukon,Athlete,Badminton,16,176,72,,Caroline Thibault,,,,To improve immensely.,,Gold at Yukon Champs in mixed doubles.,Nyl Yakura and Lukas Kobler.,,,0,0,0,0
60,Rémi Aubin,Quebec,Athlete,Gymnastics,17,185,74,,"François Leblanc, Julie Dionne",Trampoline,,,Compléter mes routines avec succès,"156,875 après finales et 101,48 avant finales",,Luke Strong,Car j'aime dépasser mes limites et j'allais souvent dans des pratiques libres à mon club et la sensation d'être dans les airs est magique,,3,0,0,3
61,Dominik Aucoin,New Brunswick,Athlete,Alpine Skiing,15,173,52,Farlagne racing,Eric Aucoin,Ski alpin,,,D’avoir du plaisir en tout temps.,Avoir participé à d’autres compétitions nationales,Jai recus plusieurs medails durant mais 10 ans de ski.,"En ski alpin, mon modèle est marcel hirscher",Car j’aimait le plaisir du ski donc jai commencer a faire de la compétition,,0,0,0,0
62,Kamille Aucoin,New Brunswick,Athlete,Alpine Skiing,14,167,45,Farlagne Racing,Eric Aucoin,,,,"Try hard, have fun!",Gold medal Atlantic series,NB cup,Mikaela Shiffrin and Lindsey Vonn,My dad was my coach and my brothers we’re doing this sport,,0,0,0,0
63,Joel Aukema,British Columbia,Athlete,Wheelchair Basketball,18,188,67,"Fraser Valley Wheelchair Sports Club, Gold Rush",Simon Cass,Big,,,,,,,A friend invited me to play a few years ago and I have been playing ever since,,0,0,0,0
64,Ethan Aumond,Northwest Territories,Athlete,Hockey,15,175 cm,65 kg,Sir John Falcons,,,,,Play hard and have fun,,,My parents,My dad and older brother both play hockey also.,,0,0,0,0
65,Flavie Aumond,Quebec,Athlete,Freestyle Skiing,16,,,,,,,,,,,,,,1,0,0,1
66,Ariane Austin,New Brunswick,Athlete,Cross Country Skiing,16,165,54,Sureau Blanc inc de Tracadie-Sheila,Manon Losier,Ski de fond,,,"Top 30 dans les courses, faire de nouvelles connaissances et avoir un bel esprit d’equIpe.",14 minutes 34 sur un 5km skating,"Championne provinciale en 2014, 2015, 2016, 2017 et 2018.","Kikkan Randall a toujours été une inspiration pour moi a cause de son esprit d’equipe, de sa forme et sa vitesse.",J’ai commencé a l’âge de 2 ans. J’ai essayé plusieurs sports mais j’ai toujours resté avec le ski de fond.,,0,0,0,0
67,Martha Avery,Nova Scotia,Athlete,Ringette,19,170,77,,,,martha_avery14,martha_avery14,To leave everything on the ice.,,,,I was really quiet as a kid when I first started school so my teacher suggested Come Try Ringette to my parents to help me meet new people!,,0,0,0,0
68,Jordan Awalt,Nova Scotia,Athlete,Ringette,18,,,,Tracy Tulloch,Defence,,,To compete to the best of my ability and leave all of my efforts on the ice.,,,,I had been given a 'come try ringette' pamphlet when I was in elementary school and decided to give it a shot!,,0,0,0,0
69,Kelsey Ayers,Alberta,Athlete,Artistic Swimming,17,165 cm,56.5 kg,Calgary Aquabelles,Jenn Tregale and Courtenay Grant,team member,,,My goals for the games are to have fun and swim the best as a team and as an individual swimmer,My personal best result in swimming would be from 2017 in Toronto when my team achived our goal of coming first at nationals.,In 2017 I recieved most improved junior.,"my personal role model is my mom, because she is always pushing herself to do more even if it's for her coaching or if it's for her family. She is always working and improving on things she loves and really pushes me to do the same.","I got involved in artistic swimming when I was four years old. My mom had been coaching and I had joined after I saw how much fun the girls were having. after a few weeks of trying it out, I asked my mom if I could continue during the regular season. Then she put me in my first club Atlantis Synchro in Halifax Nova Scotia. Where I continued my career until 2013 when I moved to calgary where I continue to train.",,1,0,0,1
70,Kaitlyn Aylesworth,British Columbia,Athlete,Artistic Swimming,16,"157,5","56,8",Victoria Synchro,Tara Gant and Olena Foshchevska,,,,To have a personal best in free team and duets,6 Gold medals at BC Games (2014 and 2016) and 7th at Nationals for Tech Team last year,Top Junior Team 2018 - Synchro BC,Jacqueline Simoneau (Artistic Swimming Olympian),Loved Dance and Loved swimming - tried Recreational Synchro - and was hooked.,,0,0,0,0
71,Jesse Bachinsky,Manitoba,Athlete,Cross Country Skiing,20,175.26,68.04,,Tamara Howard Bachinsky,,,,To podium,28 min in 10 km skate,Manitoba skier of the year,Brian McKeever,"Through a good friend of our families, Pam McDonald who was a Nordic ski coach",,1,0,2,3
72,Courtney Kayla Bacon,British Columbia,Athlete,Ringette,18,155,,,,,,,I am excited to participate to the best of my ability and bring home a medal.,Making Team BC For Nationals in 2016,"Volleyball – 2016 Athletic Excellence Award
Tennis – First year of playing won all tournaments that I entered
Skiing – Raced competitive and received various 1st placings
Soccer – Won various tournaments and MVP awards
Ringette – 2014 – Tasmanian Devil award - various MVP
Badminton – would have been on BCWG team if not chosen to go for ringette",,I attended a Come-try-ringette event and instantly fell in love with the sport.,,0,0,0,0
73,Gavin Baggs,Newfoundland and Labrador,Athlete,Wheelchair Basketball,11,4” 1,78 lbs,NL wheelchair Sports,Todd Hickey,Guard,,,To score a basket in a game! I would love to meet new people from other provinces.,,,Liam Hickey,"My parents got me to watch Liam play sledge and Wheelchair basketball. After I saw him play, I wanted to play as well. He has shown me that being from a small place and having a disability doesn’t stop me from doing well in sports.",,0,0,0,0
74,Daniel Bagnell,Saskatchewan,Athlete,Judo,17,,,,,,,,,,,,,,0,0,0,0
75,Tyanna Bain,Northwest Territories,Athlete,Curling,15,160.02,54.4311,Inuvik Curling Club,Nick Saturnino,Skip,,,To play our best and make it to the playoffs.,Winning Canada Winter Game tryouts,,Rachel Homan,My parents signed me up for half ice curling and I've been curling since,,0,0,0,0
